"","year","agency_code","agency_level","designation_Type","name","county","street_addr","street_addr2","city","state","zip","phone","url","super_name","category_code","lea_code","grade_span","school_type","calendar_type","title_i","residing_district","esea","stem","purple_star","stu_enroll","cte_enroll","pct","masking","csi_lp","csi_lg","tsi_cu","tsi_at","BL7","FEM","MALE","OTHER","WH7","majority_white","absent_group_ALL","absent_group_FEM","absent_group_HI7","absent_group_MALE","absent_group_WH7","absent_group_BL7","absent_group_ELS","absent_group_MU7","absent_group_SWD","absent_group_AS7","absent_group_AM7","absent_group_PI7"
"11",2022,"010388","SCH","P","Southern Alamance High","Alamance","631 Southern High Road",NA,"Graham","NC",27253,"336-570-6400","https://www.abss.k12.nc.us/o/sahs","Ms Teresa Faucette","H","010LEA","09:12","Regular School","Traditional","N",NA,NA,NA,NA,1290,1052,81.55,NA,"N","N","Y","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2022,"010390","SCH","P","Southern Alamance Middle","Alamance","771 Southern High Road",NA,"Graham","NC",27253,"336-570-6500","https://www.abss.k12.nc.us/o/sams","Matt Ritter","M","010LEA","06:08","Regular School","Traditional","N",NA,NA,NA,NA,710,469,66.06,NA,"N","N","Y","Y",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2022,"010394","SCH","P","Turrentine Middle","Alamance","1710 Edgewood Avenue",NA,"Burlington","NC",27215,"336-570-6150","http://tum.abss.k12.nc.us/","Dr Robin Finberg","M","010LEA","06:08","Regular School","Traditional","Y",NA,NA,NA,NA,962,533,55.41,NA,"N","N","Y","Y",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2022,"010396","SCH","P","Walter M Williams High","Alamance","1307 S Church Street",NA,"Burlington","NC",27215,"336-570-6161","https://www.abss.k12.nc.us/o/wwhs","Dr Helena Thomas","H","010LEA","09:12","Regular School","Traditional","N",NA,NA,NA,NA,1169,893,76.39,NA,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2022,"010400","SCH","P","Western Alamance High","Alamance","1731 N NC 87",NA,"Elon","NC",27244,"336-538-6020","https://www.abss.k12.nc.us/o/wahs","Mr Harold Bryant","H","010LEA","09:12","Regular School","Traditional","N",NA,NA,NA,NA,1021,767,75.12,NA,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2022,"010403","SCH","P","Western Alamance Middle","Alamance","2100 Eldon Drive",NA,"Elon","NC",27244,"336-538-6010","https://www.abss.k12.nc.us/o/wams","Gabrielle Hall","M","010LEA","06:08","Regular School","Traditional","N",NA,NA,NA,NA,805,473,58.76,NA,"N","N","Y","Y",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2022,"010406","SCH","P","Woodlawn Middle","Alamance","3970 Mebane Rogers Road",NA,"Mebane","NC",27302,"919-563-3222","https://www.abss.k12.nc.us/o/wms","Mr Brian Williams","M","010LEA","06:08","Regular School","Traditional","N",NA,NA,NA,NA,581,366,62.99,NA,"N","N","Y","Y",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2022,"010450","SCH","P","Alamance Virtual School","Alamance","612 Apple Street",NA,"Burlington","NC",27217,"336-570-6134","https://www.abss.k12.nc.us/o/avs","Mr Emmet Alexander","A","010LEA","0K:12","Regular School","Traditional","N",NA,NA,NA,NA,343,220,64.14,NA,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2022,"010LEA","LEA","P","Alamance-Burlington Schools","Alamance","1712 Vaughn Road","-","Burlington","NC",27217,"336-570-6060","http://www.abss.k12.nc.us","Dr Dain Butler",NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,13793,8223,59.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2022,"01B000","SCH","C","River Mill Academy","Alamance","235 Cheeks Lane",NA,"Graham","NC",27253,"336-229-0909","http://www.rivermill-academy.org","Mr Jeffrey Dishmon","A","CH","0K:12","Regular School","Traditional","N","010LEA",NA,NA,NA,440,84,19.09,NA,"N","N","N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2022,"01C000","SCH","C","Clover Garden","Alamance","2454 Altamahaw Union Ridge Roa",NA,"Burlington","NC",27217,"336-586-9440","http://www.cgsnc.org","Mrs Heather Vereyken","A","CH","0K:12","Regular School","Traditional","Y","010LEA",NA,NA,NA,385,182,47.27,NA,"N","N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2022,"01D000","SCH","C","The Hawbridge School","Alamance","1735 Saxapahaw Bethlehem Churc",NA,"Saxapahaw","NC",27340,"336-376-1122","http://www.thehawbridgeschool.org","Ms Jennifer Shelton","A","CH","0K:12","Regular School","Traditional","N","010LEA",NA,NA,NA,398,NA,5,TRUE,"N","N","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2022,"020302","SCH","P","Alexander Central High","Alexander","223 School Drive",NA,"Taylorsville","NC",28681,"828-632-7063","http://www.alexander.k12.nc.us/alexandercentral","Mr Jacob Lail","H","020LEA","09:12","Regular School","Traditional","N",NA,NA,NA,NA,1228,995,81.03,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2022,"020303","SCH","P","Alexander Early College","Alexander","345 Industrial Blvd",NA,"Taylorsville","NC",28681,"828-632-8221","http://www.alexander.k12.nc.us/aec","Mrs Mary Brown","H","020LEA","09:12","Regular School","Modified","N",NA,NA,NA,NA,188,67,35.64,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2022,"020306","SCH","P","East Alexander Middle","Alexander","1285 White Plains Road",NA,"Hiddenite","NC",28636,"828-632-7565","http://www.alexander.k12.nc.us/eastalexander","Andy Berry (Interim)","M","020LEA","06:08","Regular School","Traditional","N",NA,NA,NA,NA,572,476,83.22,NA,"N","N","Y","Y",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2022,"020310","SCH","P","Alexander Virtual Academy","Alexander","7300 Church Road",NA,"Taylorsville","NC",28681,"828-632-2395","https://www.alexander.k12.nc.us/Domain/18","Ms Melinda Glenn","I","020LEA","0K:08","Regular School","Traditional","N",NA,NA,NA,NA,27,NA,5,TRUE,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2022,"020330","SCH","P","West Alexander Middle","Alexander","85 Bulldog Lane",NA,"Taylorsville","NC",28681,"828-495-4611","http://www.alexander.k12.nc.us/westalexander","Mrs Katelyn Nash","M","020LEA","06:08","Regular School","Traditional","N",NA,NA,NA,NA,465,402,86.45,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2022,"020LEA","LEA","P","Alexander County Schools","Alexander","700 Liledoun Road","-","Taylorsville","NC",28681,"828-632-7001","http://www.alexander.k12.nc.us","Dr Jennifer F Hefner",NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,2785,1941,69.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2022,"030304","SCH","P","Alleghany High","Alleghany","404 Trojan Avenue",NA,"Sparta","NC",28675,"336-372-4554","http://www.alleghany.k12.nc.us/ahs","Mrs Melissa Vestal","H","030LEA","09:12","Regular School","Traditional","N",NA,NA,NA,NA,409,381,93.15,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2022,"030308","SCH","P","Glade Creek Elementary","Alleghany","32 Glade Creek Sch Road",NA,"Ennice","NC",28623,"336-657-3388","http://www.alleghany.k12.nc.us/gcs","Dr Gerald Miller","I","030LEA","PK:08","Regular School","Traditional","Y",NA,NA,NA,NA,110,89,80.91,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2022,"030316","SCH","P","Piney Creek Elementary","Alleghany","559 Piney Creek Sch Road",NA,"Piney Creek","NC",28663,"336-359-2988","http://www.alleghany.k12.nc.us/pcs","Mr Travis Sturgill","I","030LEA","PK:08","Regular School","Traditional","Y",NA,NA,NA,NA,69,46,66.67,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2022,"030320","SCH","P","Sparta Elementary","Alleghany","450 N Main Street",NA,"Sparta","NC",28675,"336-372-8546","http://www.alleghany.k12.nc.us./ses","Mr Dustin Webb","I","030LEA","PK:08","Regular School","Traditional","Y",NA,NA,NA,NA,224,170,75.89,NA,"N","N","Y","Y",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2022,"030LEA","LEA","P","Alleghany County Schools","Alleghany","85 Peachtree Street","-","Sparta","NC",28675,"336-372-4345","http://www.alleghany.k12.nc.us","Dr Chad S Beasley",NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,812,686,84.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2022,"040304","SCH","P","Anson County Early College High School","Anson","177 Ledbetter Street",NA,"Polkton","NC",28135,"704-272-5396","http://www.ansonschools.org","Mrs Carri Decker","H","040LEA","09:13","Regular School","Traditional","N",NA,NA,NA,NA,224,90,40.18,NA,"N","N","N","N",0.333,0.333,0.667,0,0.667,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2022,"040306","SCH","P","Anson High School","Anson","96 Anson High School Road",NA,"Wadesboro","NC",28170,"704-694-9301","http://ahs.ansonschools.org/home.aspx","Mr Chris Stinson","H","040LEA","09:12","Regular School","Traditional","N",NA,NA,NA,NA,612,577,94.28,NA,"N","N","Y","N",0.333,0.333,0.667,0,0.667,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2022,"040309","SCH","P","Anson Middle School","Anson","832 US Hwy 52 N",NA,"Wadesboro","NC",28170,"704-694-3945","http://ams.ansonschools.org/home.aspx","Dr Darrell Potts","M","040LEA","06:08","Regular School","Traditional","N",NA,NA,NA,NA,718,655,91.23,NA,"N","N","Y","Y",0.333,0.333,0.667,0,0.667,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2022,"040LEA","LEA","P","Anson County Schools","Anson","320 Camden Road","-","Wadesboro","NC",28170,"704-694-4417","http://www.ansonschools.org","Mr Howard E McLean",NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,1775,1322,74.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2022,"050302","SCH","P","Ashe County High","Ashe","184 Campus Drive",NA,"West Jefferson","NC",28694,"336-846-2400","https://www.asheschools.org/achs#calendar1655/20210705/month","Mr Dustin Farmer","H","050LEA","09:12","Regular School","Traditional","N",NA,NA,NA,NA,750,585,78,NA,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2022,"050303","SCH","P","Ashe County Early College High School","Ashe","363 Campus Dr",NA,"West Jefferson","NC",28694,"336-846-1881","https://nc02200844.schoolwires.net/earlycollege","Mrs Lindsey Williams","H","050LEA","09:13","Regular School","Traditional","N",NA,NA,NA,NA,124,66,53.23,NA,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2022,"050305","SCH","P","Ashe County Middle","Ashe","255 Northwest Lane",NA,"Warrensville","NC",28693,"336-384-3591","https://www.asheschools.org/acms#calendar6542/20210705/month","Dr Susan Mochen","M","050LEA","07:08","Regular School","Traditional","N",NA,NA,NA,NA,452,294,65.04,NA,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2022,"050310","SCH","P","Blue Ridge Elementary","Ashe","5778 NC Hwy 88 W",NA,"Warrensville","NC",28693,"336-384-4500","https://www.asheschools.org/bres","Mr Mitchell Reedy","E","050LEA","0K:06","Regular School","Traditional","Y",NA,NA,NA,NA,115,NA,5,TRUE,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2022,"050330","SCH","P","Mountain View Elementary","Ashe","2789 Hwy 221 N",NA,"Jefferson","NC",28640,"336-982-4200","https://www.asheschools.org/mves","Mr David Blackburn","E","050LEA","PK:06","Regular School","Traditional","Y",NA,NA,NA,NA,158,NA,5,TRUE,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2022,"050335","SCH","P","Westwood Elementary","Ashe","4083 US Hwy 221S",NA,"West Jefferson","NC",28694,"336-877-2921","https://www.asheschools.org/wwes","Mrs Jennifer Holden","E","050LEA","0K:06","Regular School","Traditional","Y",NA,NA,NA,NA,138,NA,5,TRUE,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2022,"050LEA","LEA","P","Ashe County Schools","Ashe","320 South Street","-","Jefferson","NC",28640,"336-246-7175","https://www.asheschools.org/","Dr Eisa Cox",NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,1737,945,54.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2022,"060302","SCH","P","Avery County High School","Avery","401 Avery County High School R",NA,"Newland","NC",28657,"828-733-0151","http://www.averyschools.net/schools/ahs.aspx","Mr Ricky Ward","H","060LEA","09:12","Regular School","Traditional","N",NA,NA,NA,NA,554,461,83.21,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2022,"060310","SCH","P","Cranberry Middle School","Avery","6230 North US Highway 19E",NA,"Elk Park","NC",28622,"828-733-2932","http://www.averyschools.net/schools/cms.aspx","Dr James Johnson","M","060LEA","06:08","Regular School","Traditional","Y",NA,NA,NA,NA,171,NA,95,TRUE,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2022,"060318","SCH","P","Avery Middle","Avery","102 Old Montezuma Road",NA,"Newland","NC",28657,"828-733-0145","http://www.averyschools.net/schools/ams.aspx","Dr Kimberly Coleman","M","060LEA","06:08","Regular School","Traditional","Y",NA,NA,NA,NA,253,234,92.49,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2022,"060334","SCH","P","Blue Ridge High School","Avery","76 Old Montezuma Rd",NA,"Newland","NC",28657,"828-737-5800",NA,NA,"T","060LEA","06:12","Alternative Educat","Traditional","N",NA,NA,NA,NA,13,6,46.15,NA,"N","Y","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2022,"060LEA","LEA","P","Avery County Schools","Avery","775 Cranberry Street","-","Newland","NC",28657,"828-733-6006","http://www.averyschools.net","Dr Dan Brigman",NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,1121,864,77.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2022,"06B000","SCH","C","Marjorie Williams Academy","Avery","129 Allen Circle",NA,"Newland","NC",28657,"828-733-5241","http://www.williamsacademy.org/","Dr Cyndi Austin","A","CH","0K:12","Regular School","Traditional","Y","060LEA",NA,NA,NA,59,NA,5,TRUE,"N","N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2022,"070308","SCH","P","Bath Elementary","Beaufort","110 S King Street",NA,"Bath","NC",27808,"252-923-3251","https://www.beaufort.k12.nc.us/schools/bath-elementary-school","Charles Clark","I","070LEA","0K:08","Regular School","Traditional","N",NA,NA,NA,NA,246,180,73.17,NA,"N","N","Y","N",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2022,"070310","SCH","P","Beaufort County Educational Technical Center","Beaufort","5700 NC Highway 33 East",NA,"Chocowinity","NC",27817,"252-946-5382","https://www.beaufort.k12.nc.us/schools/educational-technical-center","Debra Windley","T","070LEA","06:12","Alternative Educat","Traditional","N",NA,NA,NA,NA,47,35,74.47,NA,"N","Y","N","N",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2022,"070311","SCH","P","Beaufort County Early College High School","Beaufort","5337 Hwy 264 East","B","Washington","NC",27889,"252-940-6227","https://www.beaufort.k12.nc.us/schools/early-college-high-school","Mrs Emily Pake","H","070LEA","09:13","Regular School","Modified","N",NA,NA,NA,NA,268,72,26.87,NA,"N","N","N","N",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2022,"070325","SCH","P","Chocowinity Middle","Beaufort","3831 US HWY 17 S",NA,"Chocowinity","NC",27817,"252-946-6191","https://www.beaufort.k12.nc.us/schools/chocowinity-middle-school","Kelly Makepeace","M","070LEA","05:08","Regular School","Traditional","Y",NA,NA,NA,NA,362,220,60.77,NA,"N","N","Y","Y",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2022,"070329","SCH","P","Northeast Elementary","Beaufort","21000 US Hwy 264 East",NA,"Pinetown","NC",27865,"252-943-6545","https://www.beaufort.k12.nc.us/schools/northeast-elementary-school","Paula Sherman","I","070LEA","PK:08","Regular School","Traditional","Y",NA,NA,NA,NA,180,136,75.56,NA,"N","N","Y","Y",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2022,"070330","SCH","P","Northside High","Beaufort","7868 Free Union Church Road",NA,"Pinetown","NC",27865,"252-943-6341","https://www.beaufort.k12.nc.us/schools/northside-high-school","Tracey Nixon","H","070LEA","09:12","Regular School","Traditional","N",NA,NA,NA,NA,346,295,85.26,NA,"N","N","Y","Y",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2022,"070338","SCH","P","P S Jones Middle","Beaufort","4105 N Market Street Ext",NA,"Washington","NC",27889,"252-946-0874","https://www.beaufort.k12.nc.us/schools/p-s-jones-middle-school","Shannon Sines","M","070LEA","06:08","Regular School","Traditional","Y",NA,NA,NA,NA,743,493,66.35,NA,"N","N","Y","Y",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2022,"070339","SCH","P","Southside High","Beaufort","5700 Hwy 33 East",NA,"Chocowinity","NC",27817,"252-940-1881","https://www.beaufort.k12.nc.us/schools/southside-high-school","Justin Holt","H","070LEA","09:12","Regular School","Traditional","N",NA,NA,NA,NA,399,358,89.72,NA,"N","N","N","N",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2022,"070340","SCH","P","S W Snowden Elementary","Beaufort","693 North 7th Street",NA,"Aurora","NC",27806,"252-322-5351","https://www.beaufort.k12.nc.us/schools/s-w-snowden-school","Patricia Horton","I","070LEA","PK:08","Regular School","Traditional","Y",NA,NA,NA,NA,75,NA,5,TRUE,"N","N","N","N",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2022,"070342","SCH","P","Washington High","Beaufort","400 Slatestone Road",NA,"Washington","NC",27889,"252-946-0858","https://www.beaufort.k12.nc.us/schools/washington-high-school","Mr Jeff Saul","H","070LEA","09:12","Regular School","Traditional","N",NA,NA,NA,NA,802,581,72.44,NA,"N","N","N","N",0.214,0.643,0.357,0,0.786,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2022,"070LEA","LEA","P","Beaufort County Schools","Beaufort","321 Smaw Road","-","Washington","NC",27889,"252-946-6593","http://www.beaufort.k12.nc.us/","Dr Matthew Cheeseman",NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,3709,2371,63.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2022,"07A000","SCH","C","Washington Montessori Public Charter School","Beaufort","2330 Old Bath Hwy",NA,"Washington","NC",27889,"252-946-1977","http://wmpcs.org","Mrs Darla Prescott","A","CH","0K:12","Regular School","Traditional","N","070LEA",NA,NA,NA,206,NA,5,TRUE,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2022,"080311","SCH","P","Bertie Early College High","Bertie","717 US Hwy 13 North",NA,"Windsor","NC",27983,"252-794-2150","http://www.bec.bertie.k12.nc.us","Mr Antonio Hoggard","H","080LEA","09:13","Regular School","Traditional","Y",NA,NA,NA,NA,147,65,44.22,NA,"N","N","N","N",1,0.833,0.167,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2022,"080312","SCH","P","Bertie High","Bertie","716 US Hwy 13 North",NA,"Windsor","NC",27983,"252-794-3034","http://www.bhs.bertie.k12.nc.us","Mr Jonathan Matthews","H","080LEA","09:12","Regular School","Traditional","Y",NA,NA,NA,NA,421,350,83.14,NA,"N","N","Y","Y",1,0.833,0.167,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
